,DRÜCK MICH!,,,,,,,,,,,,,,,,
Einwohnerzahl,Kommune,"Homepage 
Kommune",PLZ,Sublevel Wasserwerk / Stadtteile,"Sublevel
Straßennetz
(falls angegeben)","bei Dopplung 
Datenhalter jeweils
eintragen",Details,"Daten-Link
Wasserdaten",Natrium,Kalium,Calcium,Magnesium,Chlorid,Nitrat,Sulfat,"Härte
Wert","Härte
Bereich"
7.655,Bad Bergzabern,http://www.bad-bergzabern.de/,76887,x,http://www.stadtwerke-bza.de/bad-bergzabern/netze/wasser.html,,Stadtwerke Bad Bergzabern,http://www.stadtwerke-bza.de/uploads/media/Trinkwasseruntersuchung_2013.pdf,7,"2,6","22,6","8,8",17,"8,4",10,"5,2","weich 0,9"
7.653,Altrip,http://www.altrip.de/,67122,"Hemshof, Mitte, West, Süd, Gartenstadt, Mundenheim, Rheingönheim, Gemeinde Altrip",,Ludwigshafen PARKINSEL,Technische Werke Ludwigshafen: Wasserwerk I PARKINSEL,http://www.twl.de/de/Privatkunden/Produkte/Trinkwasser/Rechte_Seite/20140214-Trinkwasseranalyse.pdf,"37,6","2,6","92,3","12,8","35,2","1,6","11,7","15,8","hart 2,83"
7.223,Hardheim,http://www.hardheim.de/,74736,,,,"Wasserversorgungsbetrieb Hardheim; Bodenseewasser, Rüdentaler Quellen (Mainberg- Seewiesen- und Paulusbodenquelle), Tiefbrunnen in der Herrenau",,,,,,,,,"Hardheim und Rüdental: 10,08
Ortsteile: 9","Hardheim und Rüdental: mittel 1,8 
Ortsteile: mittel 1,6"
7.139,Reilingen,http://www.reilingen.de/,68799,"Reilingen, Hockenheim, Altlußheim, Neulußheim",,,Zweckverband Wasserversorgung Südkreis Mannheim,,"7,9",1,111,"13,7","18,1","2,2","96,7","18,7",hart
7.082,Lautertal (Elmshausen),http://www.lautertal.de/,64686,x,http://www.lautertal.de/versorgungsnetz.html?matches=trinkwasserversorgung%2Ctrinkwasser,,,http://www.lautertal.de/trinkwasserwerte.html?matches=trinkwasserwerte%2Ctrinkwasseruntersuchungsprogramm%2Ctrinkwasser%2Ctrinkwasserqualit%C3%A4t%2Ctrinkwasserverordnung%2Ctrinkwasseruntersuchungen,"12,5","1,7","84,3","12,6","18,1",13,"33,9","14,7","hart 2,63"
7.082,Lautertal (Reichenbach),http://www.lautertal.de/,64686,x,http://www.lautertal.de/versorgungsnetz.html?matches=trinkwasserversorgung%2Ctrinkwasser,,,http://www.lautertal.de/trinkwasserwerte.html?matches=trinkwasserwerte%2Ctrinkwasseruntersuchungsprogramm%2Ctrinkwasser%2Ctrinkwasserqualit%C3%A4t%2Ctrinkwasserverordnung%2Ctrinkwasseruntersuchungen,"Versorgungsbereich 1 (Grün): 11
Versorgungsbereich 2 (Rot): 8,9
Versorgungsbereich 3 (Rot/Weiss): 9
Versorgungsbereich 4 (Grün/Weiss): 10,5","Versorgungsbereich 1 (Grün): 2
Versorgungsbereich 2 (Rot): 1,2
Versorgungsbereich 3 (Rot/Weiss): 1,3
Versorgungsbereich 4 (Grün/Weiss): 2","Versorgungsbereich 1 (Grün): 41,8
Versorgungsbereich 2 (Rot): 26,8
Versorgungsbereich 3 (Rot/Weiss): 25,9
Versorgungsbereich 4 (Grün/Weiss): 42,5","Versorgungsbereich 1 (Grün): 14,4
Versorgungsbereich 2 (Rot): 9,8
Versorgungsbereich 3 (Rot/Weiss): 11,2
Versorgungsbereich 4 (Grün/Weiss): 13,9","Versorgungsbereich 1 (Grün): 11,1
Versorgungsbereich 2 (Rot): 4,9
Versorgungsbereich 3 (Rot/Weiss): 4,5
Versorgungsbereich 4 (Grün/Weiss): 11,5","Versorgungsbereich 1 (Grün): 21,2
Versorgungsbereich 2 (Rot): 12,6
Versorgungsbereich 3 (Rot/Weiss): 12,4
Versorgungsbereich 4 (Grün/Weiss): 21,6","Versorgungsbereich 1 (Grün): 37,6
Versorgungsbereich 2 (Rot): 27,4
Versorgungsbereich 3 (Rot/Weiss): 27,5","Versorgungsbereich 1 (Grün): 9,2
Versorgungsbereich 2 (Rot): 6
Versorgungsbereich 3 (Rot/Weiss): 6,2
Versorgungsbereich 4 (Grün/Weiss): 9,1","Versorgungsbereich 1 (Grün): mittel 1,64
Versorgungsbereich 2 (Rot): weich 1,07
Versorgungsbereich 3 (Rot/Weiss): weich 1,11
Versorgungsbereich 4 (Grün/Weiss): mittel 1,63"
7.082,Lautertal (Lautern),http://www.lautertal.de/,64686,x,http://www.lautertal.de/versorgungsnetz.html?matches=trinkwasserversorgung%2Ctrinkwasser,,,http://www.lautertal.de/trinkwasserwerte.html?matches=trinkwasserwerte%2Ctrinkwasseruntersuchungsprogramm%2Ctrinkwasser%2Ctrinkwasserqualit%C3%A4t%2Ctrinkwasserverordnung%2Ctrinkwasseruntersuchungen,"10,7","1,1","33,1","12,9","6,6","7,6","22,8","7,6","weich 1,36"
7.082,Lautertal (Gadernheim und Unter-Raidelbach),http://www.lautertal.de/,64686,x,http://www.lautertal.de/versorgungsnetz.html?matches=trinkwasserversorgung%2Ctrinkwasser,,,http://www.lautertal.de/trinkwasserwerte.html?matches=trinkwasserwerte%2Ctrinkwasseruntersuchungsprogramm%2Ctrinkwasser%2Ctrinkwasserqualit%C3%A4t%2Ctrinkwasserverordnung%2Ctrinkwasseruntersuchungen,8,"1,2","28,2","12,8","3,8","12,8","19,6","6,9","weich 1,23"
7.082,Lautertal (Raidelbach),http://www.lautertal.de/,64686,x,http://www.lautertal.de/versorgungsnetz.html?matches=trinkwasserversorgung%2Ctrinkwasser,,,http://www.lautertal.de/trinkwasserwerte.html?matches=trinkwasserwerte%2Ctrinkwasseruntersuchungsprogramm%2Ctrinkwasser%2Ctrinkwasserqualit%C3%A4t%2Ctrinkwasserverordnung%2Ctrinkwasseruntersuchungen,"12,8","2,3","56,7","13,2","40,4","10,7","21,3",11,"mittel 1,96"
7.082,"Lautertal (Schannenbach, Knoden und Breitenwiesen)",http://www.lautertal.de/,64686,x,http://www.lautertal.de/versorgungsnetz.html?matches=trinkwasserversorgung%2Ctrinkwasser,,,http://www.lautertal.de/trinkwasserwerte.html?matches=trinkwasserwerte%2Ctrinkwasseruntersuchungsprogramm%2Ctrinkwasser%2Ctrinkwasserqualit%C3%A4t%2Ctrinkwasserverordnung%2Ctrinkwasseruntersuchungen,"9,4","1,4","18,8",22,"15,5","11,9","26,2","7,7","weich 1,38"
7.082,Lautertal (Beedenkirchen und Wurzelbach (bis Tankstelle Brunner)),http://www.lautertal.de/,64686,x,http://www.lautertal.de/versorgungsnetz.html?matches=trinkwasserversorgung%2Ctrinkwasser,,,http://www.lautertal.de/trinkwasserwerte.html?matches=trinkwasserwerte%2Ctrinkwasseruntersuchungsprogramm%2Ctrinkwasser%2Ctrinkwasserqualit%C3%A4t%2Ctrinkwasserverordnung%2Ctrinkwasseruntersuchungen,"9,2","1,2","22,5","9,1","4,2","11,8","25,3","5,2","weich 0,93"
7.082,"Lautertal (Staffel, Schmal-Beerbach und Wurzelbach (bis Tankstelle Brunner))",http://www.lautertal.de/,64686,x,http://www.lautertal.de/versorgungsnetz.html?matches=trinkwasserversorgung%2Ctrinkwasser,,,http://www.lautertal.de/trinkwasserwerte.html?matches=trinkwasserwerte%2Ctrinkwasseruntersuchungsprogramm%2Ctrinkwasser%2Ctrinkwasserqualit%C3%A4t%2Ctrinkwasserverordnung%2Ctrinkwasseruntersuchungen,"10,4","1,7","18,8","13,9","6,6","13,9","22,6","5,8","weich 1,04"
7.041,Neuhofen,http://www.neuhofen.de/,67141,,,,,,,,,,,,,,
7.009,Jockgrim,http://www.jockgrim.de/,76751,Wasserversorgung Germersheim,,,"Wasserversorgung Germersheim
Südgruppe: Jockgrim",http://www.wgs-jockgrim.de/wasser/jockgrim.pdf,"7,8","1,6","74,7","10,9","9,7",1,"5,6","12,9",mittel
7.009,Maxdorf,http://www.vg-maxdorf.de/,67133,Wasserwerk Maxdorf,,,Friedelsheimer Gruppe: Wasserwerk Maxdorf,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Maxdorf.pdf,"59,6","3,4","51,7","14,4",72,"1,9",18,"10,6",2
6.897,Dannstadt-Schauernheim,http://www.vg-dannstadt-schauernheim.de,67125,Pfälzische Mittelrheingruppe Schifferstadt,,,"Zweckverband für Wasserversorgung
Pfälzische Mittelrheingruppe Schifferstadt",,,,,,,,,,
6.889,Annweiler,http://www.annweiler.de/,76855,,,,,,,,,,,,,,
6.731,"Zwingenberg, Baden",http://www.zwingenberg-neckar.de/,69439,,,,,,,,,,,,,,
6.626,Neulußheim,http://www.neulussheim.de/,68809,Zweckverband Wasserversorgung Südkreis Mannheim,,,,,,,,,,,,,
6.594,Edenkoben,http://www.edenkoben.de/,67480,,,,,,,,,,,,,,
6.488,Osterburken,http://www.osterburken.de/,74701,Bodensee Wasserversorgung,,,,,,,,,,,,,
6.468,Bammental,http://www.bammental.de/,69245,Zweckverbandes Gruppenwasserversorgung Unteres Elsenztal,,,,http://www.wasserzweckverband.de/untersuchung.htm,"8,5","1,1",85,16,16,17,34,16,"hart 2,85"
6.369,Lambsheim,http://www.lambsheim.de/,67245,Friedelsheimer Gruppe: Wasserwerk Maxdorf,,Maxdorf,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Maxdorf.pdf,"59,6","3,4","51,7","14,4",72,"1,9",18,"10,6",2
6.154,Offenbach a. d. Queich,http://www.offenbach-queich.de/,76877,Zweckverbandes für Wasserversorgung WALSHEIMER GRUPPE: Gruppenwasserwerke Bornheim,http://www.gruppenwasserwerke-bornheim.de/wDeutsch/betrieb/wasserverteilung.php?navanchor=2120005,,,http://www.gruppenwasserwerke-bornheim.de/bestimmungen_von_elementen.pdf,"5,8","1,1","83,8","17,9",15,"7,1",13,"15,9","hart 2,8"
6.115,Einhausen,http://www.einhausen.de/w3a/default.jsp,64683,Wasserbeschaffungsverband Riedgruppe Ost: Feuersteinberg,"Einhausen, Fehlheim, Lorsch, Langwaden, Rodau, Schwanheim ",Lorsch,,http://www.riedgruppe-ost.de/de/analysen/feuersteinberg.php,"12,5","2,04","98,6",20,"13,4","1,1",10,"18,4","hart 3,28"
6.051,Laudenbach a. d. Bergstr.,http://www.gemeinde-laudenbach.de,69514,Wasserwerk Wasserzweckverband Badische Bergstraße (Sitz Hemsbach),,,,,,,,,,,,,
5.969,Elztal,http://www.elztal.de/,74834,Stadtwerke Mosbach GmbH,,,,,,,,,,,,14,
5.742,Billigheim,http://www.billigheim.de/,74842,Heilbronner Versorgungs GmbH,,,,,,,,,,,,,
5.723,Waibstadt,http://www.waibstadt.de/,74915,Zweckverbandes Wasserversorgungsgruppe Unterer Schwarzbach,,,,,,,,,,,,,
5.706,Dudenhofen,http://www.dudenhofen.de/,67373,Verbandsgemeinde Dudenhofen,,"
",,http://www.vgrd.de/vg_rd/Werke/Wasser/Trinkwasseranalyse.pdf,"9,4","2,4","86,1","12,2",8,<1,8,"14,8","hart 2,65"
5.514,Lingenfeld,http://www.vg-lingenfeld.de,67360,,,,,"
",,,,,,,,,
5.362,"Hagenbach, Pfalz",http://www.hagenbach.de/,76767,,,,,"
",,,,,,,,,
5.340,Waldsee,http://www.waldsee.de/,67165,,,,,,,,,,,,,,
5.307,Adelsheim,http://www.adelsheim.de/,,,,,,,,,,,,,,,
5.278,Meckesheim,http://www.meckesheim.de/,74909,,,,,,,,,,,,,,
5.239,Altlußheim,http://www.altlussheim.de/,68804,,,,,,,,,,,,,,
5.221,Obrigheim,http://www.obrigheim.de/,74847,,,,,,,,,,,,,,
5.012,Freinsheim,http://www.freinsheim.de/,67251,,,,,,,,,,,,,,
5.001,Lindenfels,http://www.lindenfels.de/,64678,,,,,,,,,,,,,,
4.960,Angelbachtal,http://www.angelbachtal.de/,74918,,,,,,,,,,,,,,
4.943,Mudau,http://www.mudau.de/,69427,,,,,,,,,,,,,,
4.914,Rheinzabern,http://www.rheinzabern.de/,76764,,,,,,,,,,,,,,
4.908,Haßmersheim,http://www.hassmersheim.de/,74855,,,,,,,,,,,,,,
4.882,Aglasterhausen,http://www.aglasterhausen.de/,74858,,,,,,,,,,,,,,
4.823,Waldbrunn,http://www.waldbrunn-odenwald.de/,69429,,,,,,,,,,,,,,
4.680,Wachenheim,http://www.wachenheim.de/,67157,,,,,,,,,,,,,,
4.526,Schönau,http://www.stadt-schoenau.de/,79667,,,,,,,,,,,,,,
4.501,Limbach,http://www.limbach.de/,74838,,,,,,,,,,,,,,
4.335,Weisenheim a. Sand,http://www.weisenheimamsand.de/,67256,,,,,,,,,,,,,,
4.331,Seckach,http://www.seckach.de/,74743,,,,,,,,,,,,,,
4.198,Maikammer,http://www.maikammer.de/,,,,,,,,,,,,,,,
4.144,Schefflenz,http://www.schefflenz.de/,74850,,,,,,,,,,,,,,
3.985,Gorxheimertal,http://www.hessennet.de/gorxheimertal/html2/news/newsindex.html,691517,,,,,,,,,,,,,,
3.928,Mauer,http://www.gemeinde-mauer.de/,69256,Zweckverbandes Gruppenwasserversorgung Unteres Elsenztal,,Bammental,,http://www.wasserzweckverband.de/untersuchung.htm,"8,5","1,1",85,16,16,17,34,16,"hart 2,85"
3.866,Lambrecht,http://www.lambrecht-pfalz.de/,67466,,,,,,,,,,,,,,
3.863,Neckarbischofsheim,http://www.neckarbischofsheim.de/,74924,,,,,,,,,,,,,,
3.862,Billigheim-Ingenheim,http://www.billigheim-ingenheim.de/,76831,,,,,,,,,,,,,,
3.752,Neckarsteinach,http://www.neckarsteinach.de/,69239,,,,,,,,,,,,,,
3.709,Groß-Rohrheim,http://www.hessennet.de/gross-rohrheim,68649,Wasserbeschaffungsverband Riedgruppe Ost: Wasserwerkes Jägersburg,"Bensheim Stadt, Biblis, Groß-Rohrheim ",Biblis,,http://www.riedgruppe-ost.de/de/analysen/jaegersburg.php,"14,5","2,43",110,"15,5","26,4","1,2","54,4","18,1","hart 3,22"
3.706,Helmstadt-Bargen,http://www.helmstadt-bargen.de/,74921,,,,,,,,,,,,,,
3.703,Grasellenbach,http://www.ueberwald.eu/,,,,,,,,,,,,,,,
3.692,Deidesheim,http://www.vg-deidesheim.rlp.de/,,,,,,,,,,,,,,,
3.585,Hirschhorn,http://www.hessennet.de/hirschhorn,,,,,,,,,,,,,,,
3.526,"Carlsberg, Pfalz",http://www.carlsberg-pfalz.de/,,,,,,,,,,,,,,,
3.468,Malsch,http://www.malsch-weinort.de/,,,,St. Leon-Roth,,http://www.st-leon-rot.de/pb/site/st-leon-rot/get/1355742/Trinkwasseranalyse%20Stand%2005.02.2014.pdf,"10,6","1,3",121,"17,8",24,7,118,21,hart
3.323,"Meckenheim, Pfalz",http://www.meckenheim-pfalz.de/,67149,Friedelsheimer Gruppe: Wasserwerk Hochdorf,,,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Hochdorf.pdf,"4,8","2,4",54,"9,8",26,"<0,5",44,"9,8",2
3.314,Otterstadt,http://www.otterstadt.de/,,,,,,,,,,,,,,,
3.258,Wilhelmsfeld,http://www.wilhelmsfeld.de/,,,,,,,,,,,,,,,
3.198,Schwarzach,http://www.schwarzach-online.de/,,,,,,,,,,,,,,,
3.186,Lustadt,http://www.lustadt.de/,,,,,,,,,,,,,,,
3.159,"Birkenheide, Pfalz",http://www.vg-maxdorf.de/,67134,Friedelsheimer Gruppe: Wasserwerk Maxdorf,,Maxdorf,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Maxdorf.pdf,"59,6","3,4","51,7","14,4",72,"1,9",18,"10,6",2
3.152,Höpfingen,http://www.hoepfingen.de/,,,,,,,,,,,,,,,
3.071,Wiesenbach,http://www.wiesenbach-online.de/,69257,Zweckverbandes Gruppenwasserversorgung Unteres Elsenztal,,Bammental,,http://www.wasserzweckverband.de/untersuchung.htm,"8,5","1,1",85,16,16,17,34,16,"hart 2,85"
3.062,"Harthausen, Pfalz",http://stadt.cityreview.de/rheinland_pfalz/harthausen,67376,Verbandsgemeinde Dudenhofen,,,,http://www.vgrd.de/vg_rd/Werke/Wasser/20120327151936818.pdf,"10,3","2,5","84,4","12,1",4,<1,<5,"14,6","hart 2,6"
3.059,Hochdorf-Assenheim,http://www.vg-dannstadt-schauernheim.de/,67126,Friedelsheimer Gruppe: Wasserwerk Hochdorf,,Meckenheim,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Hochdorf.pdf,"4,8","2,4",54,"9,8",26,"<0,5",44,"9,8",2
3.055,Hettenleidelheim,http://www.hettenleidelheim.de/,,,,,,,,,,,,,,,
3.018,Beindersheim,http://www.beindersheim.de/,,,,,,,,,,,,,,,
2.991,Hessheim,http://www.vghessheim.de/,,,,,,,,,,,,,,,
2.960,Ravenstein,http://www.ravenstein.de/,,,,,,,,,,,,,,,
2.948,Dirmstein,http://www.dirmstein.de/,,,,,,,,,,,,,,,
2.941,Schönbrunn,http://www.gemeinde-schoenbrunn.de/,,,,,,,,,,,,,,,
2.919,Heiligkreuzsteinach,http://www.heiligkreuzsteinach.de/,,,,,,,,,,,,,,,
2.918,Schwegenheim,http://www.schwegenheim.de/,,,,,,,,,,,,,,,
2.891,Hatzenbühl,http://www.hatzenbuehl.de/,,,,,,,,,,,,,,,
2.827,Rödersheim-Gronau,http://www.roedersheim-gronau.de/,67127,Friedelsheimer Gruppe: Wasserwerk Hochdorf,,Meckenheim,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Hochdorf.pdf,"4,8","2,4",54,"9,8",26,"<0,5",44,"9,8",2
2.778,Fahrenbach,http://www.fahrenbach.de/,,,,,,,,,,,,,,,
2.704,Gaiberg,http://www.gaiberg.de/,69251,Zweckverbandes Gruppenwasserversorgung Unteres Elsenztal,,Bammental,,http://www.wasserzweckverband.de/untersuchung.htm,"8,5","1,1",85,16,16,17,34,16,"hart 2,85"
2.572,Elmstein,http://www.elmstein.de/,,,,,,,,,,,,,,,
2.566,Leimersheim,http://www.ruelzheim.de,,,,,,,,,,,,,,,
2.555,Neuburg a. Rhein,http://www.neuburg-rhein.de/,,,,,,,,,,,,,,,
2.546,Fußgönheim,http://www.vg-maxdorf.de/,67136,Friedelsheimer Gruppe: Wasserwerk Maxdorf,,Maxdorf,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Maxdorf.pdf,"59,6","3,4","51,7","14,4",72,"1,9",18,"10,6",2
2.510,Eschelbronn,http://www.eschelbronn.de/,,,,,,,,,,,,,,,
2.504,Epfenbach,http://www.epfenbach.de/,,,,,,,,,,,,,,,
2.447,"Hochstadt, Pfalz",http://www.offenbach-queich.de/,76879,Zweckverbandes für Wasserversorgung WALSHEIMER GRUPPE: Gruppenwasserwerke Bornheim,http://www.gruppenwasserwerke-bornheim.de/wDeutsch/betrieb/wasserverteilung.php?navanchor=2120005,Offenbach an der Queich,,http://www.gruppenwasserwerke-bornheim.de/bestimmungen_von_elementen.pdf,"5,8","1,1","83,8","17,9",15,"7,1",13,"15,9","hart 2,8"
2.446,Klingenmünster,http://www.klingenmuenster.de/,,,,,,,,,,,,,,,
2.432,Abtsteinach,http://www.abtsteinach.de/,69518,Bezirk I:Mackenheim (Tiefzone),"Ortsstraße Haus Nr. 26 - 33, Kreidacher Weg, Im Gräben, Am Langen Bangert, Am Hofböhl",,,http://www.abtsteinach.de/Service/Wasserversorgung,"10,6",1,24,"10,8","7,2","11,6",n.a.,n.a.,1
2.432,Abtsteinach,http://www.abtsteinach.de/,69518,Bezirk II:Mackenheim (Hochzone),"Ortsstraße Haus Nr. 4 - 17, Vöckelsbacher Weg Haus Nr. 1 - 11, Am Rain Haus Nr. 3 - 8",,,http://www.abtsteinach.de/Service/Wasserversorgung,"9,4","1,1","24,5","9,31","5,7",13,n.a.,n.a.,
2.432,Abtsteinach,http://www.abtsteinach.de/,69518,Bezirk III:Ober-Abtsteinach,"Annastraße, Bildstockstraße, Breslauer Straße, Brunnenstraße, Danziger Straße, Dr.-v.-Brentano-Straße, Forstweg, Friedhofstraße, Gartenstraße, Götzensteinstraße, Hardbergstraße, Höhenstraße, Hohbergstraße, Im Busch, In der Häuselswiese, Bgm-Karl-Heindtel-Straße, Kirchstraße, Löhrbacher Straße, Luisenstraße, Mackenheimer Straße, Marienstraße, Neckarstraße, Schulstraße, Steinachstraße, Waldskopfstraße, Lindenstraße, Im Steinböhl",,,http://www.abtsteinach.de/Service/Wasserversorgung,"9,9","0,9","14,8","10,7","7,5","11,6",n.a.,n.a.,
2.432,Abtsteinach,http://www.abtsteinach.de/,69518,Bezirk IV:Unter-Abtsteinach,"Am Wildenberg, Am Mühlgraben, Im Wiesengrund, Bergweg, Birkenweg, Hauptstraße, Eiterbacher Weg, Im Röthels, Klingenstraße, Ringstraße, Schützenstraße, Waldstraße, Weinheimer Straße, Buchackerweg",,,http://www.abtsteinach.de/Service/Wasserversorgung,"4,4","2,1","35,2","3,4","4,6","14,6",n.a.,n.a.,
2.424,"Hördt, Pfalz",http://www.ruelzheim.de/vg_ruelzheim/homepage/Ortsgemeinden/H%C3%B6rdt/,,,,,,http://www.wgs-jockgrim.de/wasser/wasser.htm,,,,,,,,,
2.420,Hanhofen,http://www.hanhofen.de,67376,Verbandsgemeinde Dudenhofen,,Harthausen,,http://www.vgrd.de/vg_rd/Werke/Wasser/20120327151936818.pdf,"10,3","2,5","84,4","12,1",4,<1,<5,"14,6","hart 2,6"
2.400,Lobbach,http://www.lobbach.de/,,,,,,,,,,,,,,,
2.353,Niederkirchen,http://www.otterberg.de/gemeinden/niederkirchen.html,67700,Friedelsheimer Gruppe: Wasserwerk Hochdorf,,Meckenheim,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Hochdorf.pdf,"4,8","2,4",54,"9,8",26,"<0,5",44,"9,8",2
2.330,Neckargerach,http://www.neckargerach.de,,,,,,,,,,,,,,,
2.290,"Edesheim, Pfalz",http://www.edesheim-pfalz.de/,,,,,,,,,,,,,,,
2.234,Ellerstadt,http://www.ellerstadt.de/,67158,Friedelsheimer Gruppe: Wasserwerk Maxdorf,,Maxdorf,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Maxdorf.pdf,"59,6","3,4","51,7","14,4",72,"1,9",18,"10,6",2
2.205,Zeiskam,http://www.zeiskam.de/,,,,,,,,,,,,,,,
2.191,"Essingen, Pfalz",http://www.essingen-pfalz.de/,76879,Zweckverbandes für Wasserversorgung WALSHEIMER GRUPPE: Gruppenwasserwerke Bornheim,http://www.gruppenwasserwerke-bornheim.de/wDeutsch/betrieb/wasserverteilung.php?navanchor=2120005,Offenbach an der Queich,,http://www.gruppenwasserwerke-bornheim.de/bestimmungen_von_elementen.pdf,"5,8","1,1","83,8","17,9",15,"7,1",13,"15,9","hart 2,8"
2.182,Zuzenhausen,http://www.zuzenhausen.de/,,,,,,,,,,,,,,,
2.166,Rosenberg,http://www.rosenberg-baden.de/,,,,,,,,,,,,,,,
2.157,Bockenheim a. d. Weinstr.,http://www.bockenheim.de/,,,,,,,,,,,,,,,
2.090,Insheim,http://www.insheim.de/,76865,"Zweckverband für Wasserversorgung Impflinger Gruppe: 3 Quellen im Kaiserbachtal, Tiefbrunnen Impflingen; Verbandsgemeindewerke Herxheim: Brunnen Rohrbach, 2 Tiefbrunnen, 2 Brunnen; Zweckverband für Wasserversorgung Germersheimer Südgruppe, Jockgrim",,,,,,,,,,,,,
2.078,"Berg, Pfalz",http://www.berg-pfalz.de/,,,,,,,,,,,,,,,
2.070,"Kirrweiler, Pfalz",http://www.kirrweiler.de/,,,,,,,,,,,,,,,
2.042,Hüffenhardt,http://www.hueffenhardt.de/,,,,,,,,,,,,,,,
2.035,Reichartshausen,http://www.reichartshausen.de/,,,,,,,,,,,,,,,
1.928,Albersweiler,http://www.albersweiler.de/,,,,,,,,,,,,,,,
1.923,"Steinfeld, Pfalz",http://www.steinfeld-pfalz.de/,,,,,,,,,,,,,,,
1.914,Kuhardt,http://www.ruelzheim.de,76773,Wasserversorgung Germersheimer Südgruppe: Kuhardt,"
",,,http://www.wgs-jockgrim.de/wasser/kuhardt.pdf,"9,3","1,9","82,8","13,7","6,6",1,"12,7","14,7",hart
1.899,"Steinweiler, Pfalz",http://www.steinweiler.de/,76872,Verbandsgemeindewerke Kandel,,,,http://www.vg-kandel.de/vg_kandel/Verwaltung/Verbandsgemeinde%20Werke/Wasseranalysen%202013.pdf,"5,2","1,5","96,3",19,"4,2","<0,5","6,3","17,9","3,2"
1.867,"Weidenthal, Pfalz",http://www.weidenthal.de/,,,,,,,,,,,,,,,
1.857,Altleiningen,http://www.altleiningen.de/,,,,,,,,,,,,,,,
1.849,Neupotz,http://www.neupotz.de/,,,,,,,,,,,,,,,
1.842,Neunkirchen,http://www.neunkirchen-baden.de/,,,,,,,,,,,,,,,
1.825,Kirchheim an der Weinstraße,http://www.gruenstadt-land.de/,,,,,,,,,,,,,,,
1.809,Ottersheim b. Landau,http://www.ottersheim-pfalz.de/,,,,,,,,,,,,,,,
1.786,Neidenstein,http://www.neidenstein.de/,,Zweckverbandes Wasserversorgungsgruppe Unterer Schwarzbach,,Waibstadt,,,,,,,,,,,
1.734,Spechbach,http://www.spechbach.de/,,,,,,,,,,,,,,,
1.728,"Westheim, Pfalz",http://www.westheim-pfalz.de/,,,,,,,,,,,,,,,
1.680,"Weingarten, Pfalz",http://www.weingarten-pfalz.de/,,,,,,,,,,,,,,,
1.670,Gerolsheim,http://www.gruenstadt-land.de,,,,,,,,,,,,,,,
1.632,Weisenheim a. Berg,http://www.weisenheim.de/,,,,,,,,,,,,,,,
1.605,"Wattenheim, Pfalz",http://www.vg-h.de/,,,,,,,,,,,,,,,
1.560,"Rohrbach, Pfalz",http://www.rohrbach-pfalz.de/,,,,,,,,,,,,,,,
1.559,Freckenfeld,http://www.freckenfeld.de/,,,,,,,,,,,,,,,
1.531,Neckarzimmern,http://www.neckarzimmern.de/,,,,,,,,,,,,,,,
1.529,Minfeld,http://www.minfeld.de/,76872,Verbandsgemeindewerke Kandel,,"Steinweiler, Pfalz",,http://www.vg-kandel.de/vg_kandel/Verwaltung/Verbandsgemeinde%20Werke/Wasseranalysen%202013.pdf,"5,2","1,5","96,3",19,"4,2","<0,5","6,3","17,9","3,2"
1.513,Gönnheim,http://www.goennheim.de/,67161,Friedelsheimer Gruppe: Wasserwerk Wachenheim,,,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Wachenheim.pdf,"7,6","2,7","33,2","6,6",20,17,23,"6,2",1
1.478,Gommersheim,http://www.gommersheim.de/,,,,,,,,,,,,,,,
1.469,Friedelsheim,http://www.friedelsheim.de/,67159,Friedelsheimer Gruppe: Wasserwerk Wachenheim,,Gönnheim,,http://www.friedelsheimer-gruppe.de/pdf/14-05-22_Analyse%20Wachenheim.pdf,"7,6","2,7","33,2","6,6",20,17,23,"6,2",1
1.467,Ruppertsberg,http://www.deutsche-wein-strasse.de/Panorama/Ruppertsberg/ruppertsberg.html,,,,,,,,,,,,,,,
1.442,Esthal,http://www.esthal.de/,,,,,,,,,,,,,,,
1.424,Schweigen-Rechtenbach,http://www.schweigen-rechtenbach.de/,,,,,,,,,,,,,,,
1.422,Gossersweiler-Stein,http://www.gossersweiler-stein.de/,,,,,,,,,,,,,,,
1.382,"Bornheim, Pfalz",http://www.bornheim-pfalz.de/,76879,Zweckverbandes für Wasserversorgung WALSHEIMER GRUPPE: Gruppenwasserwerke Bornheim,http://www.gruppenwasserwerke-bornheim.de/wDeutsch/betrieb/wasserverteilung.php?navanchor=2120005,Offenbach an der Queich,,http://www.gruppenwasserwerke-bornheim.de/bestimmungen_von_elementen.pdf,"5,8","1,1","83,8","17,9",15,"7,1",13,"15,9","hart 2,8"
