Stadt;Ortsteil;Straße;Zone;Härtegrad;Natrium;Kalium;Calcium;Magnesium;Chlorid;Nitrat;Sulfat;Anmerkungen;Jahresmittelwerte;Quelle
Neckarsulm;Kernstadt;NSU-Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;NSU-Einfahrbahn;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Pfarrgasse;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Plattenwaldweg;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Schwalbenweg;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Seestraße;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Spitalstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Spohnstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Steinachstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Sudetenweg;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Untere Neckarstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Viktor-Brunner-Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Wachterstraße;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Weidachstraße;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;alle anderen Straßen;Zone 2;16,1;7,1;1,5;83,1;19,6;;10,8;80,3;;;
Neckarwestheim;;;;9;5,2;1,4;48;8;7;4,2;34;;2012;100 % Bodenseewasser
Neudenau-Stadt;;;;21;7,7;1,5;122;16;17;19;67;;;
Neuenstadt am Kocher;;;;;;;;;;;;angefragt;;
Nordheim;;;;14;7;2;70;17;16;13;35;;k. A.;Mischwasser
Obersulm;Affaltrach;;;9,4;;;51,8;9,5;;4,4;33;;k.A.;100 % Bodenseewasser
Obersulm;Eichelberg;;;11,9;;;55,8;17,6;;5,9;29;;k.A.;Mischwasser, 50 % Eigenwasser, 50 % Bodenseewasser
Obersulm;Eschenau;;;9,4;;;51,8;9,5;;4,4;33;;k.A.;100 % Bodenseewasser
Obersulm;Obersulm;;;;;;;;;;;angefragt;;
Obersulm;Sülzbach;;;9,4;;;51,8;9,5;;4,4;33;;k.A.;100 % Bodenseewasser
Obersulm;Weiler;;;11,9;;;55,8;17,6;;5,9;29;;k.A.;Mischwasser, 50 % Eigenwasser, 50 % Bodenseewasser
Obersulm;Willsbach;;;9,4;;;51,8;9,5;;4,4;33;;k.A.;100 % Bodenseewasser
